"source_sheet","source_row","site","building_name","floor","room_code_cmis","room_name_cmis","room_classification","linked_to","facing","catering_delivered","alcohol_served_y_n","fine_dining_plated_service","buffet_lunch_dinner","stand_up_reception","theatre_flat","cabaret","multi_function","board_room","continental","working_breakfast","energise_breakfast","speciality_breakfast","breakfast_buffet","beverage_menu","express_menu","afternoon_bites","sandwich_lunches","grazing_boards","table_d_hote","cold_fork_buffet","fork_buffet","bowl_food","finger_food","sushi","warm_party_food","pizza","three_course_plated","canapes","alcoholic_beverages","value","value_2","value_3","value_4","value_5","value_6","value_7","value_8","value_9","value_10","value_11","value_12","value_13","value_14","value_15","value_16","value_17","value_18","value_19","value_20","value_21","value_22","value_23","value_24","value_25","value_26","value_27","value_28","value_29","value_30","value_31","value_32","value_33","value_34","value_35","value_36","value_37","value_38","value_39","value_40","value_41","value_42","value_43","value_44","value_45","value_46","value_47","value_48","value_49","value_50","value_51","value_52","value_53","value_54","value_55","value_56","value_57","value_58","value_59","value_60","value_61","value_62","value_63","value_64"
"Catering Space Policy","2","North Building","North Building","First","NB_Lounge","NB.1.14 NB Lounge","Function","Nuffield Hall","Quad Area","yes","yes","","","","","","200","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","3","North Building","North Building","Second","NB.2.07_8","NB.2.07 & 8 Executive Lounge & Dining Room","Function","","","yes","yes","12","12","","","","","12","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","4","North Building","North Building","Lower Ground 2","o/s_LT12","Outside Lecture Theatre 12","Function","LT12","Basement","yes","yes","","","40","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","5","North Building","North Building","Lower Ground 2","o/s_Nuffield_Hall","Outside Nuffield Hall","Function","Nuffield Hall","Internal","yes","yes","","","15","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","6","North Building","North Building","Level 1","Council Room","Council Room","Function","","","yes","yes","","","30","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","7","North Building","North Building","Level 1","Committee Room","Committee Room","Function","","","yes","yes","","","30","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","8","North Building","North Building","Level 1","Nuffield Hall","Nuffield Hall","Function","","","yes","yes","240","240","300","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","9","North Building","North Building","-2","Executive Education suites","Executive Education suites","Function","","","yes","yes","","50","60","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","10","North Building","North Building","Ground Floor","Hive","Hive","Function","","","yes","yes","","100","150","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","11","Sammy Ofer Centre","SOC-East Wing","Level 0","SO.L1.102","Lower Link Bridge","Function","","Upper Link Bridge","yes","yes","","","60","","","","","yes","no","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","12","Sammy Ofer Centre","SOC-East Wing","Level 1","SO.L1.101","Upper Link Bridge","Function","Student Lounge","Lower Link Bridge","yes","yes","","","60","","","","","yes","no","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","13","Sammy Ofer Centre","SOC-East Wing","Level 2","o/s_LT18_19","Outside Lecture Theatre 18,19","Function","LTs 18/19","Courtyards","yes","no","","","30","","","","","yes","no","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","14","Sammy Ofer Centre","SOC-West Wing","Level 1","","Student Lounge","Function","Upper Link Bridge","Upper Link Bridge","yes","no","","","","","","","","yes","no","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","15","Sussex Place","A Wing","Lower Ground","Lower_Nash_Lounge","Lower Nash Lounge","Function","Nash Lounge","Basement","yes","yes","","","150","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","16","Sussex Place","A Wing","Ground","The_Nash_Lounge","Nash Lounge","Function","Lower Nash","Park","yes","yes","","","150","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","17","Sussex Place","B Wing","Ground","Garden_Room","Garden Room","Function","","Park","yes","yes","80","70","100","","40","","","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","18","Sussex Place","B Wing","Ground","Park_Restaurant_Suite_1","Park Restaurant Suite 1","Function","Park Restaurant 2","Park","yes","yes","56","56","100","","","","","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","19","Sussex Place","B Wing","Ground","Park_Restaurant_Suite_2","Park Restaurant Suite 2","Function","Park Restaurant 1","Park/Loading Bay","yes","yes","64","64","100","","","","","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","20","Sussex Place","B Wing","Ground","n/a","Park Restaurant Suite 1 & 2","Function","","Park/Loading Bay","yes","yes","128","120","200","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","21","Sussex Place","E Wing","Second","E_Wing_Lounge","PL.E2.01 E Wing Lounge","Function","LT7, Transmed LT, E202, E306","Car Park","yes","yes","","60","80","","","","","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","22","Sussex Place","E Wing","Lower Ground","o/s_PL.E-1.01","Outside PL.E-1.01","Function","PL.E-1.01","Roadside","yes","no","","","15","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","23","Sussex Place","E Wing","Third","o/s_PL.E3.07","Outside PL.E3.07","Function","PL.E3.07","Internal","yes","no","","","15","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","24","Sussex Place","E Wing","First","o/s_Transmed","Outside Transmed LT","Function","Transmed LT","Car Park","yes","no","","","15","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","25","Sussex Place","Plowden","First","o/s_WLT","Outside Wolfson Lecture Theatre","Function","Wolfson LT","Car Park","yes","yes","","","15","","","","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","26","Sussex Place","Plowden","Ground","Quad_Lower","Lower Quad Area","Function","Upper Quad Area","Quad","yes","no","","","","","","150","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catering Space Policy","27","Sussex Place","Plowden","Ground","Quad_Upper","Upper Quad Area","Function","Lower Quad Area","Quad","yes","no","","","","","","150","","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
