"source_sheet","source_row","location_and_capacity","value","value_2","value_3","value_4","room_layout","value_5","value_6","value_7","value_8","value_9","value_10","value_11","value_12","room_features","value_13","value_14","value_15","value_16","value_17","value_18","value_19","value_20","av_facilities_in_rooms","value_21","value_22","value_23","value_24","value_25","value_26","value_27","value_28","value_29","value_30","value_31","value_32","value_33","av_supplied_to_rooms","value_34","value_35","value_36","value_37","value_38","value_39"
"Teaching & Office Support","2","Location and Capacity","Building","Floor","Room","Default Capacity","Boardroom","Hollow Square","U-Shape","Theatre (Flat)","Theatre (Tier)","Classroom","Exam Seating","Cabaret","Stand up","Room Type","Linked to","Activity type","Facing","Bookable on App","AV Delivered","Catering Delivered (Y/N)","Shop kit orientation (sign outside)","Wheelchair accessible (May not include front of LT)","Projector/Plasma","PC","Phone (Extension)","AMX control","DVD","Video player","Printer","Whiteboard(s)","Flipchart(s)","Induction loop","Laptop plug","Document projector","Video conference","Satellite (IP) TV","Data projector booked on request (8 at any one time)","Video role play rigs booked on request (10 at any one time)","Audio conference phones (5 at any one time)","Document camera on request","Video conferencing on request","(Media Services) Filming request with operator/consultation required","Comments"
"Teaching & Office Support","3","Linhope Street","17 Linhope Street","G","17LNHG01","10","Default","NO","NO","NO","NO","NO","NO","NO","NO","Meeting Room","NO","Office Support","Internal","STAFF","YES","NO","L","NO","Plasma","1","6594","YES","NO","NO","NO","NO","1","NO","YES","NO","NO","NO","YES","NO","YES","YES","NO","YES",""
"Teaching & Office Support","4","Linhope Street","17 Linhope Street","G","17LNHG02","4","Default","NO","NO","NO","NO","NO","NO","NO","NO","Meeting Room","NO","Office Support","Internal","STAFF","YES","NO","L","NO","NO","1","6589","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","N","YES","YES","NO","YES",""
"Teaching & Office Support","5","Linhope Street","36 Linhope Street","1","36LNH101","10","Default","NO","NO","NO","NO","NO","NO","NO","NO","Meeting Room","NO","Office Support","Internal","STAFF","YES","NO","L","NO","Plasma","1","6124","YES","NO","NO","NO","NO","1","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES",""
"Teaching & Office Support","6","Linhope Street","36 Linhope Street","G","36LNHG01","8","Default","NO","NO","NO","NO","NO","NO","NO","NO","Meeting Room","NO","Office Support","Internal","STAFF","YES","NO","L","NO","Plasma","1","6117","YES (wall plate)","NO","NO","NO","1","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES",""
"Teaching & Office Support","7","Linhope Street","36 Linhope Street","G","36LNHG02","5","Default","NO","NO","NO","NO","NO","NO","NO","NO","Meeting Room","NO","Office Support","Internal","STAFF","YES","NO","L","NO","Plasma","1","6118","YES (wall plate)","NO","NO","NO","1","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES",""
"Teaching & Office Support","8","Linhope Street","36 Linhope Street","G","36LNHG03","5","Default","NO","NO","NO","NO","NO","NO","NO","NO","Meeting Room","NO","Office Support","Internal","STAFF","YES","NO","L","NO","NO","NO","6116","NO","NO","NO","NO","NO","1","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES",""
"Teaching & Office Support","9","Lorne Close","Lorne Close","1","LC101","16","Default","NO","NO","NO","NO","NO","NO","NO","NO","Meeting Room","NO","Office Support","Internal","STAFF","YES","NO","L","NO","YES","YES","N/A","NO","NO","NO","NO","1","1","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES",""
"Teaching & Office Support","10","Lorne Close","Lorne Close","G","LCG01","8","Default","NO","NO","NO","NO","NO","NO","NO","NO","Meeting Room","NO","Office Support","Internal","STAFF","YES","NO","L","YES","YES","YES","N/A","NO","NO","NO","NO","1","1","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES",""
"Teaching & Office Support","11","Sammy Ofer Centre","Sammy Ofer Centre","G","LT14 (SO.E.14)","85","NO","NO","NO","NO","Default","NO","42","NO","NO","Lecture Theatre","NO","Teaching","","NO","YES","NO","","YES","2 x Projectors","1","Lync Desktop Phone","YES","TBC","TBC","NO","TBC","NO","TBC","YES","YES","YES","NO","NO","YES","NO","NO","YES","YES","2 X lapel microphone, webcam, touch panel control"
