"source_sheet","source_row","site","building_name","floor","room_name","activity_type","buffet_service_cabaret_dining","plated_service_cabaret_dining","fork_buffet","drinks_reception","catering_delivered","type_of_catering_hot_cold","alcohol_served_y_n","comments"
"Sheet1","2","Sussex Place","A Wing","Ground","Nash Lounge","Hospitality","130","","100","100","yes","hot/cold","yes",""
"Sheet1","3","Sussex Place","A Wing","Lower Ground","Lower Nash","Hospitality","50","","50","80","yes","hot/cold","yes",""
"Sheet1","4","Sussex Place","B Wing","Ground","Garden Room","Hospitality","72","72","100","100","yes","hot/cold","yes",""
"Sheet1","5","Sussex Place","B Wing","Ground","Park Restaurant Suite 1","Hospitality","63","63","70","70","yes","hot/cold","yes","Buffet Service in Park 1: 63 people max
Plated Service in Park 1: 63 people max, will require Garden Room to be blocked out for plating;
Drinks Reception in Park 1: 70 people max"
"Sheet1","6","Sussex Place","B Wing","Ground","Park Restaurant Suite 2","Hospitality","81","72","81","90","yes","hot/cold","yes","Buffet Service in Park 2: 81 people max
Plated Service in Park 2: 72 people max, will require Park Restaurant 1 to be blocked out for plating;
Drinks Reception in Park 2: 90 people max"
"Sheet1","7","Sussex Place","B Wing","Ground","Park Restaurant 1 & 2","Hospitality","144","144","160","160","yes","hot/cold","yes","Maximum numbers for using both Park 1 & 2:
Buffet Service in Park 1 & 2: 144 people max
Plated Service in Park 1 & 2: 144 people max, will require Garden Room to be blocked out for plating;
Drinks Reception in Park 1 & 2: 160 people max"
"Sheet1","8","Sussex Place","B Wing","Ground","Outside Garden Room","Hospitality","","","","10","no","no","no",""
"Sheet1","9","Sussex Place","E Wing","Second","E Wing Lounge","Hospitality","60","","60","80","yes","hot/cold","yes",""
"Sheet1","10","Sussex Place","E Wing","Lower Ground","Outside ELG01","Hospitality","","","","15","yes","cold","no",""
"Sheet1","11","Sussex Place","E Wing","Third","Outside E306","Hospitality","","","","15","yes","cold","no",""
"Sheet1","12","Sussex Place","E Wing","First","Outside Transmed LT","Hospitality","","","","15","yes","cold","no",""
"Sheet1","13","Sussex Place","E Wing","Ground","E Wing Foyer","Hospitality","","","","","no","no","no",""
"Sheet1","14","North Building","North Building","Lower Ground 2","Outside LT 12","Hospitality","","","","30","","cold","yes",""
"Sheet1","15","North Building","North Building","First","Outside Nuffield Hall","Hospitality","","","","15","","cold","no",""
"Sheet1","16","North Building","North Building","Ground","The Bagri Hive","Hospitality","","","","150","","","",""
"Sheet1","17","North Building","North Building","First","NB.1.11 Nuffield Hall","Hospitality","","","","","","","",""
"Sheet1","18","North Building","North Building","Second","NB.2.07 & 8 Executive Lounge & Dining Room","Hospitality","","","","","","","",""
"Sheet1","19","North Building","North Building","Ground","North Building Reception Desk","Hospitality","","","","","","","",""
"Sheet1","20","Sussex Place","Plowden","First","Outside Wolfson LT","Hospitality","","","","15","yes","cold","yes",""
