"source_sheet","source_row","lt1","ratcliffe","6641","fixed_chair_100","max_7_8_in_the_back_exam_seating_54_plus_4_with_2_additinoal_treasle_tables"
"Sheet1","3","LT2","Ratcliffe","6642","Default 47 (not fixed chairs)
default set up based on the number of chairs in the room","Exam seating: 25"
"Sheet1","4","LT3","Ratcliffe","6643","Default 45 fixed seats, altogether 56","11 fixed chairs in the back / exam seating: 24 normal desks (6 at back with fold down desks)"
"Sheet1","5","LT4","Ratcliffe","6644","Default 46 fixed seats, altogether 56","10 fixed chairs in the back / exam seating: 24 normal desks (5 at the back with fold down desks)"
"Sheet1","6","LT5","Ratcliffe","6645","Default 46 fixed seats","No extra chairs in the back / exam seating: 24"
"Sheet1","7","LT6","Ratcliffe","6646","Default 106 fixed seats, altogether max 125","19 extra seats in the back / exam seating: 58 (plus 10 with 5 additional treasle tables)"
"Sheet1","8","LT7","E Wing","6647","Default 75 (fixed chairs)","20 Extra seat in the back/ exam seating: 36 (plus 10 with seats at back)"
"Sheet1","9","LT8","E Wing","3622","Altogether max 63","Exam seating: 35 (plus 8 with 4 additional treasle tables)"
"Sheet1","10","LT9","Ratcliffe","6649","Default 81 (not fixed chairs)","Exam seating 42"
"Sheet1","11","LT10","Ratcliffe","6650","Default 81 (not fixed chairs)","Exam seating 42"
"Sheet1","12","SG06","Ratcliffe","6506","Default 42 (not fixed chairs)","Exam seating 17"
"Sheet1","13","WLT","Plowden","6651","Default 79 (not fixed chairs)","Exam seating 41 (plus 6 with 3 additional treasle tables)"
"Sheet1","14","E202","E Wing","6482","Default 28","Board room: 20
U-shape: 20
Theatre: 30
Exam seating: 10"
"Sheet1","15","Fairbairn room","Plowden","6584","Default 28","Board room: 28
U-shape: 28
Theatre: 80
Classroom: 40
Cabare: 36
Exam seating: 24"
"Sheet1","16","Labzone","Plowden","6585","Default 60","Cabare style: 42
Board room: not ideal
Theatre: 60
Exam seating: 24"
"Sheet1","17","E306","E Wing","","Default 42 (not fixed chairs)","Maximum 42 - Only Cabare style
Exam seating: 16"
