"location","chairs_set_to_default","flipcharts_in_place","comments","source"
"LT14 (SO.E.14)","88","2","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"LT15 (SO.E.15)","88","2","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E0.04","12","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E0.05","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E0.06","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E0.07","4","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E0.08 Goddard and Overs Seminar Room","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E0. Lift lobby","Please refer to guide","NA","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"LT16 (SO.E.16)","88","2","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"LT17 Kwok Lecture Theatre (SO.E.17)","88","2","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E1.01 Althani Study Room","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E1.02","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E1.03 Mak Flat Floor Room","24","1","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E1.04","24","1","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E1.05","10","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E1.06 The Eagles Study Room","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E1.07 Cullinan Study Room","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E1.08 Makhzoumi Seminar Room","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E1 Lift Lobby","Please refer to guide","NA","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"LT18 Pyott Foundation Lecture Theatre (SO.E.18)","100","2","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"LT19 Pyott Foundation Lecture Theatre (SO.E.19)","100","2","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E2.01","12","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E2.02 Songprapa Study Room","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E2.03","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E2 Lift Lobby","Please refer to guide","NA","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.01 Taylor Seminar Room","12","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.02","10","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.03","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.04","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.05","2","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.06","2","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.07","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.08","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.09","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.10","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.11","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.12","10","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.13 Alhamad Study Room","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3.14","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E3 Lift Lobby","Please refer to guide","NA","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E4.01 Executive (Terrace) Boardroom","22","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E4.01 Executive Terrace","Default","NA","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W0.02","4","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W0.03","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W1.05","10","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"Student Lounge","Please refer to guide","NA","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"Link Bridge","Please refer to guide","NA","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W2.01 Library Finance Suite","10","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W2.02 Library Finance Suite","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W2.04 Alumni Meeting Room","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W2.07","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W2.08","12","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W2.09","12","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W2.10","12","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W2.11","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W3.01 Advancement Meeting Room","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W3.02 Sir John Ritblat Boardroom","30","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W3.03 Carlsson Family Foundation Directors Room","16","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W3.04 Neill Family Seminar Room","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W3.05","2","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W3.06","2","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W3.07","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W3.08","6","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W3.09","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W3.10","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.W3.12","8","0","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
"SO.E2.150 Furniture Store","To be kept tidy 24/7","10","Y","Sammy Ofer Centre Check List (Section 3) copy - Copy.docx"
