"source_sheet","source_row","building","floor","room","cap","room_type","comments"
"Sheet1","2","SOC","G","LT14 (SO.E.14)","85","Lecture Theatre","2 X lapel microphone, webcam, touch panel control"
"Sheet1","3","SOC","G","LT15 (SO.E.15)","85","Lecture Theatre","2 X lapel microphone, webcam, touch panel control"
"Sheet1","4","SOC","G","SO.E0.04","10","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","5","SOC","G","SO.E0.05","8","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","6","SOC","G","SO.E0.06","8","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","7","SOC","G","SO.E0.07","4","Study Room","Fixed table - room set up cannot be changed"
"Sheet1","8","SOC","G","SO.E0.08 Goddard and Overs Seminar Room","8","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","9","SOC","G","SO.W0.02","4","Study Room","Fixed table - room set up cannot be changed"
"Sheet1","10","SOC","G","SO.W0.03","8","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","11","SOC","1","LT16 (SO.E.16)","85","Lecture Theatre","2 X lapel microphone, webcam, touch panel control"
"Sheet1","12","SOC","1","LT17 Kwok Lecture Theatre (SO.E.17)","85","Lecture Theatre","2 X lapel microphone, webcam, touch panel control"
"Sheet1","13","SOC","1","SO.E1.01 Althani Study Room","4","Study Room","Fixed table - room set up cannot be changed"
"Sheet1","14","SOC","1","SO.E1.02","8","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","15","SOC","1","SO.E1.03 Mak Flat Floor Room","32","Flat Floor","2 X lapel microphone, webcam, touch panel control"
"Sheet1","16","SOC","1","SO.E1.04","32","Flat Floor","2 X lapel microphone, webcam, touch panel control"
"Sheet1","17","SOC","1","SO.E1.05","10","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","18","SOC","1","SO.E1.06 The Eagles Study Room","4","Study Room","Fixed table - room set up cannot be changed"
"Sheet1","19","SOC","1","SO.E1.07 Cullinan Study Room","4","Study Room","Fixed table - room set up cannot be changed"
"Sheet1","20","SOC","1","SO.E1.08 Makhzoumi Seminar Room","8","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","21","SOC","1","SO.W1.05","10","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","22","SOC","1","SO.W1.08","10","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","23","SOC","2","SO.E2.01","12","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","24","SOC","2","SO.E2.02 Songprapa Study Room","4","Study Room","Fixed table - room set up cannot be changed"
"Sheet1","25","SOC","2","SO.E2.03","8","Seminar Room","Fixed table - room set up cannot be changed"
"Sheet1","26","SOC","2","SO.W2.01 Library Finance Suite","10","Computer Lab","Room non-bookable.  Restricted to Library use only."
"Sheet1","27","SOC","2","SO.W2.02 Library Finance Suite","6","Computer Lab","Room non-bookable.  Restricted to Library use only."
"Sheet1","28","SOC","2","SO.W2.04 Alumni Meeting Room","6","Meeting Room","Room use restricted to Advancement only.  Webcam."
"Sheet1","29","SOC","2","SO.W2.07","8","Seminar Room","Fixed table - room set up cannot be changed"
