"source_sheet","source_row","site","room","room_2","capacity","category","type","webrule","owner","area","link_code","campus"
"Sheet1","2","Susx Plc","WLT","Wolfson Lecture Theatre","82","LECT","Tiered","DPO","SPMT","159.30000000000001","LT Wolfson (82+FA)","SUSX"
"Sheet1","3","Susx Plc","Quad_Upper","Upper Quad Area","100","FCTN","Function","ALL","SPMT","169","Upper Quad","SUSX"
"Sheet1","4","SOC","SO.L1.101","Upper Link Bridge","60","Standing","Function","SPMT","SPMT","","Lower Link Bridge","SUSX"
"Sheet1","5","Susx Plc","Transmed_LT","Transmed Lecture Theatre","59","LECT","Tiered","EXEC","SPMT","125.33","LT Transmed (59+FA)","SUSX"
"Sheet1","6","Susx Plc","Sussex_Room","Sussex Room","14","Boardroom","Function","ALL","SPMT","29.99","Sussex Room (7)","SUSX"
"Sheet1","7","SOC","SO.W3.12","SO.W3.12 Seminar Room","8","SEMINAR","Flat","STUDENT/STAFF","SPMT","15.56","SO.W3.12 (8)","SUSX"
"Sheet1","8","SOC","SO.W3.10","SO.W3.10 Seminar Room","8","SEMINAR","Flat","STUDENT/STAFF","SPMT","16.59","SO.W3.10 (8)","SUSX"
"Sheet1","9","SOC","SO.W3.09","SO.W3.09 Seminar Room","8","SEMINAR","Flat","STUDENT/STAFF","SPMT","17.12","SO.W3.09 (8)","SUSX"
"Sheet1","10","SOC","SO.W3.08","SO.W3.08 Seminar Room","6","SEMINAR","Flat","STUDENT/STAFF","SPMT","13.45","SO.W3.08 (6)","SUSX"
"Sheet1","11","SOC","SO.W3.07","SO.W3.07 Seminar Room","6","SEMINAR","Flat","STUDENT/STAFF","SPMT","12.83","SO.W3.07 (6)","SUSX"
"Sheet1","12","SOC","SO.W3.06","SO.W3.06 Seminar Room","6","SEMINAR","Flat","STUDENT/STAFF","SPMT","12.74","SO.W3.06 (6)","SUSX"
"Sheet1","13","SOC","SO.W3.05","SO.W3.05 Seminar Room","6","SEMINAR","Flat","STUDENT/STAFF","SPMT","12.83","SO.W3.05 (6)","SUSX"
"Sheet1","14","SOC","SO.W3.04","SO.W3.04 Neill Family Room","6","SEMINAR","Flat","STUDENT/STAFF","SPMT","13.51","SO.W3.04 (6)","SUSX"
"Sheet1","15","SOC","SO.W3.03","SO.W3.03 Carlsson Family Foundation Director's Room","16","Boardroom","Flat","SPMT","SPMT","45.2","W3.03 (16) Carlsson","SUSX"
"Sheet1","16","SOC","SO.W3.02","SO.W3.02 The Sir John Ritblat Boardroom","30","Boardroom","Flat","SPMT","SPMT","70.239999999999995","W3.02 (30) Sir John","SUSX"
"Sheet1","17","SOC","SO.W3.01","SO.W3.01 Heritage Meeting Room","6","MEET","Flat","SPMT","SPMT","26.93","W3.01 (6) Heritage","SUSX"
"Sheet1","18","SOC","SO.W2.11","SO.W2.11 Seminar Room","8","SEMINAR","Flat","STUDENT/STAFF","SPMT","22.8","SO.W2.11 (8)","SUSX"
"Sheet1","19","SOC","SO.W2.10","SO.W2.10 Seminar Room","12","SEMINAR","Flat","STUDENT/STAFF","SPMT","29.63","SO.W2.10 (12) Credz","SUSX"
